region_name,misclassification_rate_rest,misclassification_rate_task,error_increase
LH_VisCent_ExStr_5,0.013392857142857095,0.05500000000000005,0.041607142857142954
RH_ContB_PFCld_2,0.0535714285714286,0.09499999999999997,0.04142857142857137
RH_SalVentAttnA_FrMed_1,0.044642857142857095,0.08499999999999996,0.04035714285714287
RH_TempPar_4,0.125,0.16500000000000004,0.040000000000000036
RH_ContB_PFClv_2,0.125,0.16500000000000004,0.040000000000000036
RH_ContA_IPS_1,0.0401785714285714,0.07999999999999996,0.03982142857142856
LH_VisCent_ExStr_4,0.0357142857142857,0.07499999999999996,0.03928571428571426
THA-DP-lh,0.1964285714285714,0.235,0.03857142857142859
LH_DorsAttnB_PostC_1,0.0714285714285714,0.10999999999999999,0.03857142857142859
RH_VisCent_ExStr_5,0.022321428571428603,0.06000000000000005,0.03767857142857145
LH_SomMotA_7,0.017857142857142905,0.05500000000000005,0.037142857142857144
LH_ContA_IPS_2,0.0580357142857143,0.09499999999999997,0.03696428571428567
LH_VisPeri_StriCal_1,0.013392857142857095,0.050000000000000044,0.03660714285714295
RH_DorsAttnB_PostC_4,0.013392857142857095,0.050000000000000044,0.03660714285714295
RH_SomMotA_9,0.0535714285714286,0.08999999999999997,0.036428571428571366
LH_ContA_PFCl_3,0.1339285714285714,0.17000000000000004,0.03607142857142864
LH_SomMotB_Cent_1,0.004464285714285698,0.040000000000000036,0.03553571428571434
LH_LimbicA_TempPole_1,0.1517857142857143,0.18500000000000005,0.03321428571428575
LH_SomMotA_8,0.0267857142857143,0.06000000000000005,0.03321428571428575
RH_ContB_PFClv_1,0.0625,0.09499999999999997,0.03249999999999997
LH_VisCent_Striate_1,0.013392857142857095,0.04500000000000004,0.031607142857142945
RH_SalVentAttnB_Ins_1,0.125,0.15500000000000003,0.030000000000000027
RH_ContB_IPL_2,0.0758928571428571,0.10499999999999998,0.029107142857142887
RH_SomMotA_10,0.03125,0.06000000000000005,0.028750000000000053
LH_SomMotA_6,0.0625,0.08999999999999997,0.02749999999999997
RH_DorsAttnB_PostC_3,0.049107142857142905,0.07499999999999996,0.02589285714285705
RH_SomMotA_2,0.049107142857142905,0.07499999999999996,0.02589285714285705
RH_DefaultA_IPL_1,0.1428571428571429,0.16000000000000003,0.017142857142857126
LH_VisPeri_ExStrSup_1,0.0401785714285714,0.05500000000000005,0.014821428571428652
RH_ContB_PFCmp_1,0.0357142857142857,0.050000000000000044,0.014285714285714346
LH_DefaultB_PFCd_2,0.0357142857142857,0.050000000000000044,0.014285714285714346
LH_DorsAttnA_TempOcc_1,0.0758928571428571,0.08999999999999997,0.014107142857142874
RH_ContA_PFCl_2,0.0714285714285714,0.08499999999999996,0.013571428571428568
