region_idx,region_name,network,hemisphere,accuracy,error_rate,precision,recall,f1_score,fnr,fpr,n_samples,n_correct,n_errors,n_false_positives
124,RH_SomMotB_Aud_2,SomMotB,right,0.885,0.11499999999999999,0.9619565217391305,0.885,0.921875,0.115,0.00015151515151515152,200,177,23,7
125,RH_SomMotB_S2_1,SomMotB,right,0.815,0.18500000000000005,0.9588235294117647,0.815,0.881081081081081,0.185,0.00015151515151515152,200,163,37,7
126,RH_SomMotB_S2_2,SomMotB,right,0.87,0.13,0.925531914893617,0.87,0.8969072164948454,0.13,0.00030303030303030303,200,174,26,14
127,RH_SomMotB_S2_3,SomMotB,right,0.855,0.14500000000000002,0.9884393063583815,0.855,0.9168900804289545,0.145,4.329004329004329e-05,200,171,29,2
128,RH_SomMotB_S2_4,SomMotB,right,0.92,0.07999999999999996,0.968421052631579,0.92,0.9435897435897437,0.08,0.00012987012987012987,200,184,16,6
129,RH_SomMotB_Cent_1,SomMotB,right,0.97,0.030000000000000027,1.0,0.97,0.9847715736040609,0.03,0.0,200,194,6,0
130,RH_DorsAttnA_TempOcc_1,DorsAttnA,right,0.97,0.030000000000000027,0.9948717948717949,0.97,0.9822784810126582,0.03,2.1645021645021645e-05,200,194,6,1
131,RH_DorsAttnA_ParOcc_1,DorsAttnA,right,0.905,0.09499999999999997,0.8227272727272728,0.905,0.861904761904762,0.095,0.0008441558441558442,200,181,19,39
132,RH_DorsAttnA_SPL_1,DorsAttnA,right,0.965,0.03500000000000003,0.9897435897435898,0.965,0.9772151898734178,0.035,4.329004329004329e-05,200,193,7,2
133,RH_DorsAttnA_SPL_2,DorsAttnA,right,0.965,0.03500000000000003,0.9747474747474747,0.965,0.9698492462311558,0.035,0.00010822510822510823,200,193,7,5
134,RH_DorsAttnA_SPL_3,DorsAttnA,right,0.87,0.13,0.9666666666666667,0.87,0.9157894736842105,0.13,0.00012987012987012987,200,174,26,6
135,RH_DorsAttnA_SPL_4,DorsAttnA,right,0.91,0.08999999999999997,0.9680851063829787,0.91,0.9381443298969071,0.09,0.00012987012987012987,200,182,18,6
136,RH_DorsAttnB_PostC_1,DorsAttnB,right,0.88,0.12,0.9723756906077348,0.88,0.9238845144356955,0.12,0.00010822510822510823,200,176,24,5
137,RH_DorsAttnB_PostC_2,DorsAttnB,right,0.965,0.03500000000000003,0.9846938775510204,0.965,0.9747474747474748,0.035,6.493506493506494e-05,200,193,7,3
138,RH_DorsAttnB_PostC_3,DorsAttnB,right,0.965,0.03500000000000003,0.9554455445544554,0.965,0.9601990049751244,0.035,0.0001948051948051948,200,193,7,9
139,RH_DorsAttnB_PostC_4,DorsAttnB,right,0.985,0.015000000000000013,0.9609756097560975,0.985,0.9728395061728395,0.015,0.00017316017316017316,200,197,3,8
140,RH_DorsAttnB_FEF_1,DorsAttnB,right,0.87,0.13,0.8743718592964824,0.87,0.8721804511278195,0.13,0.0005411255411255411,200,174,26,25
141,RH_SalVentAttnA_ParOper_1,SalVentAttnA,right,0.94,0.06000000000000005,0.9690721649484536,0.94,0.9543147208121826,0.06,0.00012987012987012987,200,188,12,6
142,RH_SalVentAttnA_PrC_1,SalVentAttnA,right,0.585,0.41500000000000004,0.7647058823529411,0.585,0.6628895184135977,0.415,0.0007792207792207792,200,117,83,36
143,RH_SalVentAttnA_Ins_1,SalVentAttnA,right,0.755,0.245,0.6398305084745762,0.755,0.6926605504587156,0.245,0.00183982683982684,200,151,49,85
144,RH_SalVentAttnA_Ins_2,SalVentAttnA,right,0.855,0.14500000000000002,0.8814432989690721,0.855,0.8680203045685279,0.145,0.0004978354978354978,200,171,29,23
145,RH_SalVentAttnA_FrOper_1,SalVentAttnA,right,0.915,0.08499999999999996,0.9945652173913043,0.915,0.953125,0.085,2.1645021645021645e-05,200,183,17,1
146,RH_SalVentAttnA_FrMed_1,SalVentAttnA,right,0.965,0.03500000000000003,0.9698492462311558,0.965,0.9674185463659147,0.035,0.00012987012987012987,200,193,7,6
147,RH_SalVentAttnA_ParMed_1,SalVentAttnA,right,0.845,0.15500000000000003,0.728448275862069,0.845,0.7824074074074074,0.155,0.0013636363636363637,200,169,31,63
148,RH_SalVentAttnA_ParMed_2,SalVentAttnA,right,0.96,0.040000000000000036,0.9552238805970149,0.96,0.9576059850374063,0.04,0.0001948051948051948,200,192,8,9
149,RH_SalVentAttnA_FrMed_2,SalVentAttnA,right,0.92,0.07999999999999996,0.9633507853403142,0.92,0.9411764705882353,0.08,0.00015151515151515152,200,184,16,7
150,RH_SalVentAttnB_IPL_1,SalVentAttnB,right,0.925,0.07499999999999996,0.9487179487179487,0.925,0.9367088607594937,0.075,0.00021645021645021645,200,185,15,10
151,RH_SalVentAttnB_PFClv_1,SalVentAttnB,right,0.915,0.08499999999999996,0.9336734693877551,0.915,0.9242424242424242,0.085,0.0002813852813852814,200,183,17,13
152,RH_SalVentAttnB_PFCl_1,SalVentAttnB,right,0.94,0.06000000000000005,0.912621359223301,0.94,0.9261083743842364,0.06,0.0003896103896103896,200,188,12,18
153,RH_SalVentAttnB_Ins_1,SalVentAttnB,right,0.945,0.05500000000000005,0.8362831858407079,0.945,0.8873239436619718,0.055,0.0008008658008658009,200,189,11,37
154,RH_SalVentAttnB_Ins_2,SalVentAttnB,right,0.935,0.06499999999999995,0.9790575916230366,0.935,0.9565217391304348,0.065,8.658008658008658e-05,200,187,13,4
155,RH_SalVentAttnB_PFCmp_1,SalVentAttnB,right,0.93,0.06999999999999995,0.9789473684210527,0.93,0.9538461538461539,0.07,8.658008658008658e-05,200,186,14,4
156,RH_LimbicB_OFC_1,LimbicB,right,0.925,0.07499999999999996,0.8564814814814815,0.925,0.889423076923077,0.075,0.000670995670995671,200,185,15,31
157,RH_LimbicB_OFC_2,LimbicB,right,0.96,0.040000000000000036,0.9056603773584906,0.96,0.9320388349514563,0.04,0.0004329004329004329,200,192,8,20
158,RH_LimbicB_OFC_3,LimbicB,right,0.93,0.06999999999999995,0.9893617021276596,0.93,0.9587628865979382,0.07,4.329004329004329e-05,200,186,14,2
159,RH_LimbicB_OFC_4,LimbicB,right,0.92,0.07999999999999996,0.9484536082474226,0.92,0.9340101522842639,0.08,0.00021645021645021645,200,184,16,10
160,RH_LimbicA_TempPole_1,LimbicA,right,0.86,0.14,0.7747747747747747,0.86,0.8151658767772512,0.14,0.0010822510822510823,200,172,28,50
161,RH_LimbicA_TempPole_2,LimbicA,right,0.695,0.30500000000000005,0.6525821596244131,0.695,0.6731234866828086,0.305,0.0016017316017316017,200,139,61,74
162,RH_LimbicA_TempPole_3,LimbicA,right,0.755,0.245,0.6593886462882096,0.755,0.703962703962704,0.245,0.0016883116883116883,200,151,49,78
163,RH_LimbicA_TempPole_4,LimbicA,right,0.895,0.10499999999999998,0.9179487179487179,0.895,0.9063291139240507,0.105,0.0003463203463203463,200,179,21,16
164,RH_ContA_IPS_1,ContA,right,0.98,0.020000000000000018,0.9607843137254902,0.98,0.9702970297029702,0.02,0.00017316017316017316,200,196,4,8
165,RH_ContA_IPS_2,ContA,right,0.96,0.040000000000000036,0.9896907216494846,0.96,0.9746192893401014,0.04,4.329004329004329e-05,200,192,8,2
166,RH_ContA_PFCd_1,ContA,right,0.895,0.10499999999999998,0.9226804123711341,0.895,0.9086294416243655,0.105,0.0003246753246753247,200,179,21,15
167,RH_ContA_PFCl_1,ContA,right,0.755,0.245,0.9617834394904459,0.755,0.8459383753501402,0.245,0.00012987012987012987,200,151,49,6
