region_i_idx,region_j_idx,region_i,region_j,network_i,network_j,hemisphere_i,hemisphere_j,asymmetry,i_to_j_rate,j_to_i_rate,asymmetry_ratio
77,187,LH_DefaultA_pCunPCC_2,RH_DefaultA_PFCm_2,DefaultA,DefaultA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
79,187,LH_DefaultA_PFCm_1,RH_DefaultA_PFCm_2,DefaultA,DefaultA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
79,201,LH_DefaultA_PFCm_1,pHIP-rh,DefaultA,Hippocampus_post,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
82,210,LH_DefaultB_Temp_1,pGP-rh,DefaultB,Pallidum_post,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
82,217,LH_DefaultB_Temp_1,pHIP-lh,DefaultB,Hippocampus_post,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
83,160,LH_DefaultB_Temp_2,RH_LimbicA_TempPole_1,DefaultB,LimbicA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
83,187,LH_DefaultB_Temp_2,RH_DefaultA_PFCm_2,DefaultB,DefaultA,left,right,0.008928571428571428,0.013392857142857142,0.004464285714285714,3.0
83,218,LH_DefaultB_Temp_2,lAMY-lh,DefaultB,Amygdala_lat,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
84,197,LH_DefaultB_Temp_3,RH_TempPar_2,DefaultB,TempPar,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
86,196,LH_DefaultB_IPL_1,RH_TempPar_1,DefaultB,TempPar,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
86,198,LH_DefaultB_IPL_1,RH_TempPar_3,DefaultB,TempPar,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
89,187,LH_DefaultB_PFCd_3,RH_DefaultA_PFCm_2,DefaultB,DefaultA,left,right,0.008928571428571428,0.017857142857142856,0.008928571428571428,2.0
50,159,LH_LimbicB_OFC_1,RH_LimbicB_OFC_4,LimbicB,LimbicB,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
50,187,LH_LimbicB_OFC_1,RH_DefaultA_PFCm_2,LimbicB,DefaultA,left,right,0.008928571428571428,0.017857142857142856,0.008928571428571428,2.0
50,224,LH_LimbicB_OFC_1,NAc-shell-lh,LimbicB,Accumbens_shell,left,left,0.008928571428571428,0.008928571428571428,0.0,inf
51,159,LH_LimbicB_OFC_2,RH_LimbicB_OFC_4,LimbicB,LimbicB,left,right,-0.008928571428571428,0.0,0.008928571428571428,0.0
52,83,LH_LimbicA_TempPole_1,LH_DefaultB_Temp_2,LimbicA,DefaultB,left,left,-0.008928571428571428,0.0,0.008928571428571428,0.0
52,187,LH_LimbicA_TempPole_1,RH_DefaultA_PFCm_2,LimbicA,DefaultA,left,right,0.008928571428571428,0.008928571428571428,0.0,inf
