region_idx,region_name,network,hemisphere,cv_error_rate,task_error_rate,error_increase,relative_increase_pct
159,RH_LimbicB_OFC_4,LimbicB,right,0.0892857142857143,0.07999999999999996,-0.009285714285714342,-10.39999998835206
160,RH_LimbicA_TempPole_1,LimbicA,right,0.1473214285714286,0.14,-0.00732142857142859,-4.96969696632361
161,RH_LimbicA_TempPole_2,LimbicA,right,0.1785714285714286,0.30500000000000005,0.12642857142857145,70.79999996035198
162,RH_LimbicA_TempPole_3,LimbicA,right,0.2098214285714286,0.245,0.03517857142857139,16.765957438817907
163,RH_LimbicA_TempPole_4,LimbicA,right,0.09375,0.10499999999999998,0.011249999999999982,11.999999987199981
164,RH_ContA_IPS_1,ContA,right,0.0357142857142857,0.020000000000000018,-0.01571428571428568,-43.99999987679992
165,RH_ContA_IPS_2,ContA,right,0.0267857142857143,0.040000000000000036,0.013214285714285734,49.3333331491556
166,RH_ContA_PFCd_1,ContA,right,0.0848214285714286,0.10499999999999998,0.02017857142857138,23.789473656163924
167,RH_ContA_PFCl_1,ContA,right,0.0625,0.245,0.1825,291.9999995328
168,RH_ContA_PFCl_2,ContA,right,0.0669642857142857,0.050000000000000044,-0.016964285714285654,-25.333333295502143
169,RH_ContA_Cingm_1,ContA,right,0.0625,0.20499999999999996,0.14249999999999996,227.99999963519997
170,RH_ContB_Temp_1,ContB,right,0.049107142857142905,0.08499999999999996,0.03589285714285706,73.09090894206918
171,RH_ContB_Temp_2,ContB,right,0.0803571428571429,0.06999999999999995,-0.010357142857142954,-12.888888872849497
172,RH_ContB_IPL_1,ContB,right,0.044642857142857095,0.03500000000000003,-0.009642857142857064,-21.599999951615846
173,RH_ContB_IPL_2,ContB,right,0.049107142857142905,0.025000000000000022,-0.024107142857142883,-49.090908990942154
174,RH_ContB_PFCld_1,ContB,right,0.0892857142857143,0.18999999999999995,0.10071428571428565,112.79999987366392
175,RH_ContB_PFCld_2,ContB,right,0.0580357142857143,0.030000000000000027,-0.028035714285714275,-48.30769222445441
176,RH_ContB_PFClv_1,ContB,right,0.0669642857142857,0.03500000000000003,-0.03196428571428567,-47.7333332620515
177,RH_ContB_PFClv_2,ContB,right,0.0803571428571429,0.06999999999999995,-0.010357142857142954,-12.888888872849497
178,RH_ContB_PFCmp_1,ContB,right,0.044642857142857095,0.015000000000000013,-0.029642857142857082,-66.39999985126394
179,RH_ContB_PFCld_3,ContB,right,0.0401785714285714,0.06999999999999995,0.029821428571428554,74.22222203749136
180,RH_ContC_pCun_1,ContC,right,0.008928571428571397,0.05500000000000005,0.04607142857142865,515.9999942208028
181,RH_ContC_pCun_2,ContC,right,0.017857142857142905,0.14500000000000002,0.1271428571428571,711.9999960127979
182,RH_ContC_Cingp_1,ContC,right,0.013392857142857095,0.06999999999999995,0.056607142857142856,422.6666635107571
183,RH_DefaultA_IPL_1,DefaultA,right,0.0758928571428571,0.05500000000000005,-0.020892857142857046,-27.529411728431725
